TY  -,`BILL`
TY  -,`UNBILL`
A2  -,Sponsor
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
CA  -,Caption
CN  -,Call Number
DA  -,Date
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Session
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
N1  -,Notes
M1  -,Bill Number
OP  -,History
PY  -,Year
RN  -,Research Notes
SE  -,Code Section
SP  -,Code Pages
ST  -,Short Title
T2  -,Code
T3  -,Legislative Body
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Code Volume
Y2  -,Access Date
ER  -,{IGNORE}