TY  -,`BLOG`
A2  -,Editor
A3  -,Illustrator
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Author
C1  -,Author Affiliation
CA  -,Caption
CN  -,Call Number
CY  -,City
DA  -,Last Update Date
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Edition
J2  -,Alternate Title
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M3  -,Type of Medium
N1  -,Notes
OP  -,Content
PB  -,Publisher
PY  -,Year
RN  -,Research Notes
SE  -,Message Number
SN  -,ISBN
SP  -,Description
ST  -,Short Title
T2  -,Title of WebLog
T3  -,Institution
TA  -,Translated Author
TI  -,Title of Entry
TT  -,Translated Title
UR  -,URL
VL  -,Access Year
Y2  -,Access Date
ER  -,{IGNORE}