TY  -,EJOUR
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Author
C1  -,Year Cited
C2  -,Date Cited
C3  -,PMCID
C4  -,Reviewer
C5  -,Issue Title
C6  -,NIHMSID
C7  -,Article Number
CA  -,Caption
CY  -,Place Published
DA  -,Date Accessed
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Edition
J2  -,Alternate Title
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  -,Issue
M3  -,Type of Work
N1  -,Notes
NV  -,Document Number
PB  -,Publisher
PY  -,Year
RI  -,Reviewed Item
RN  -,Research Notes
RP  -,Reprint Edition
SE  -,E-Pub Date
SN  -,ISSN
SP  -,Pages
ST  -,Short Title
T2  -,Periodical Title
T3  -,Website Title
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Volume