TY  -,`ECHAP`
A2  -,Editor
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Author
C1  -,Section
C3  - ,Title Prefix
C4  - ,Reviewer
C5  - ,Packaging Method
C6  - ,NIHMSID
C7  - ,PMCID
CA  -,Caption
CN  - ,Call Number
CY  -,Place Published
DA  -,Date Accessed
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Edition
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  - ,Chapter
M3  -,Type of Work
N1  -,Notes
NV  - ,Number of Volumes
OP  - ,Original Publication
PB  -,Publisher
PY  -,Year
RI  - ,Reviewed Item
RN  -,Research Notes
RP  - ,Reprint Edition
SN  -,ISBN
SP  -,Pages
ST  - ,Short Title
T2  -,Book Title
T3  - ,Series Title
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Volume
Y2  - ,Access Date
ER  -,{IGNORE}