TY  -,`MPCT`
A2  -,Series Director
A3  -,Producer
A4  -,Performers
AB  -,Synopsis
AD  -,Author Address
AN  -,Accession Number
AU  -,Director
C1  -,Cast
C2  -,Credits
C4  -,Genre
C5  -,Format
CA  -,Caption
CN  -,Call Number
CY  -,Country
DA  -,Date Released
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Edition
J2  -,Alternate Title
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M3  -,Medium
N1  -,Notes
PB  -,Distributor
PY  -,Year Released
RN  -,Research Notes
SP  -,Running Time
ST  -,Short Title
T2  -,Series Title
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
Y2  -,Access Date
ER  -,{IGNORE}