TY  -,`ABST`
TY  -,`INPR`
TY  -,`JFULL`
TY  -,`JOUR`
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Author
C1  -,Legal Note
C2  -,PMCID
C6  - ,NIHMSID
C7  - ,Article Number
CA  -,Caption
CN  -,Call Number
DA  -,Date
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Epub Date
J2  -,Alternate Journal
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
IS  -,Issue
M2  - ,Start Page
M3  -,Type of Article
N1  -,Notes
OP  -,Original Publication
PY  -,Year
RI  -,Reviewed Item
RN  -,Research Notes
RP  -,Reprint Edition
SN  -,ISSN
SP  -,Pages
ST  - ,Short Title
T2  -,Journal
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Volume
Y2  -,Access Date
ER  -,{IGNORE}