TY  -,`MULTI`
A2  -,Series Editor
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Created By
C1  -,Year Cited
C2  -,Date Cited
C5  -,Format/Length
CA  -,Caption
DA  -,Date Accessed
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  -,Number of Screens
M3  -,Type of Work
N1  -,Notes
PB  -,Distributor
PY  -,Year
RN  -,Research Notes
T2  -,Series Title
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
ER  -,{IGNORE}