TY  -,`PCOMM`
TY  -,`ICOMM`
A2  -,Recipient
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Author
C1  - ,Sender's E-Mail
C2  - ,Recieipients E-Mail
CN  -,Call Number
CA  -,Caption
CY  -,City
DA  -,Date
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Description
J2  -,Abbreviation
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  -,Folio Number
M3  -,Type
N1  -,Notes
NV  -,Communication Number
PB  -,Publisher
PY  -,Year
RN  -,Research Notes
SP  -,Pages
ST  -,Short Title
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
Y2  -,Access Date
ER  -,{IGNORE}