TY  -,`STAT`
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
CA  -,Caption
C5  - ,Publisher
C6  - ,Volume
CN  -,Call Number
CY  -,Country
DA  -,Date Enacted
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Session
J2  -,Abbreviation
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  - ,Label
M1  -,Public Law Number
N1  -,Notes
NV  -,Statute Number
OP  -,History
PB  -,Source
PY  -,Year
RI  -,Article Number
RN  -,Research Notes
SE  - ,Section
SP  -,Pages
ST  -,Short Title
T2  -,Code
T3  -,International Source
TA  -,Translated Author
TI  -,Name of Act
TT  -,Translated Title
UR  -,URL
VL  -,Code Number
Y2  -,Date Enacted
ER  -,{IGNORE}