TY  -,`CHAP`
A2  -,Editor
A3  -,Series Editor
A4  -,Translator
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Author
C1  -,Section
C3  - ,Title Prefix
C4  - ,Reviewer
C5  -,Packaging Method
CA  -,Caption
CN  -,Call Number
CY  -,City
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Edition
J2  -,Abbreviation
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
IS  -,Number of Volumes
OP  -,Original Publication
N1  -,Notes
PB  -,Publisher
PY  -,Year
RI  -,Reviewed Item
RN  -,Research Notes
RP  -,Reprint Edition
SE  -,Chapter
SN  -,ISBN
SP  -,Pages
ST  -,Short Title
SV  -,Series Volume
T2  -,Book Title
T3  -,Series Title
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Volume
Y2  -,Access Date
ER  -,{IGNORE}