TY  -,`MGZN`
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Author
CA  -,Caption
CN  -,Call Number
CY  -,Place Published
DA  -,Date
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Edition
J2  -,Alternate Magazine
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  -,Issue Number
M3  -,Type of Article
N1  -,Notes
NV  -,Frequency
OP  -,Original Publication
PB  -,Publisher
PY  -,Year
RI  -,Reviewed Item
RN  -,Research Notes
RP  -,Reprint Edition
SE  -,Start Page
SN  -,ISSN
SP  -,Pages
ST  -,Short Title
T2  -,Magazine
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Volume
Y2  -,Access Date
ER  -,{IGNORE}