TY  -,`MANSCPT`
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Author
CN  -,Call Number
CA  -,Caption
CY  -,City
DA  -,Date
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  - ,Description of Material
J2  -,Abbreviation
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  -,Folio Number
M3  -,Type of Work
N1  -,Notes
NV  -,Manuscript Number
PB  -,Library/Archive
PY  -,Year
RP  - ,Reprint Edition
RN  -,Research Notes
SE  -,Start Page
SP  -,Pages
ST  -,Short Title
T2  -,Collection Title
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Volume/Storage Container
Y2  -,Access Date
ER  -,{IGNORE}