TY  -,`MAP`
A2  -,Series Editor
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Cartographer
C1  - ,Scale
C2  - ,Area
C3  - ,Size
C5  - ,Packaging Method
CA  -,Caption
CN  -,Call Number
CY  -,City
DA  -,Date
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
ET  -,Edition
J2  -,Alternate Title
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M3  -,Type
N1  -,Notes
PB  -,Publisher
PY  -,Year
RN  - ,Research Notes
RP  - ,Reprint Edition
SN  -,ISBN
SP  -,Description
ST  -,Short Title
T2  -,Series Title
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
Y2  -,Access Date
ER  -,{IGNORE}