TY  -,`THES`
A3  -,Advisor
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Author
CA  -,Caption
CN  -,Call Number
CY  -,City
DA  - ,Date
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  - ,Document Number
M3  -,Thesis Type
N1  -,Notes
PB  -,University
PY  -,Year
RN  -,Research Notes
SP  -,Number of Pages
ST  - ,Short Title
T2  -,Academic Department
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  - ,Degree
Y2  -,Access Date
ER  -,{IGNORE}